2025-04-30 15:47:13.787 INFO: Epoch 61: head: Default, loss=0.4276, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.21, RMSE_ALPHA_DERIV=    1.96
2025-04-30 15:47:28.157 INFO: Epoch 62: head: Default, loss=0.3214, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.15, RMSE_ALPHA_DERIV=    1.76
2025-04-30 15:47:42.571 INFO: Epoch 63: head: Default, loss=0.4120, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    1.97
2025-04-30 15:47:56.949 INFO: Epoch 64: head: Default, loss=0.3926, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    1.92
2025-04-30 15:48:11.273 INFO: Epoch 65: head: Default, loss=0.2774, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    1.56
2025-04-30 15:48:25.531 INFO: Epoch 66: head: Default, loss=0.2954, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    1.66
2025-04-30 15:48:39.808 INFO: Epoch 67: head: Default, loss=0.3448, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    1.58
2025-04-30 15:48:54.040 INFO: Epoch 68: head: Default, loss=0.3292, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    1.82
2025-04-30 15:49:08.398 INFO: Epoch 69: head: Default, loss=0.2589, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.11, RMSE_ALPHA_DERIV=    1.61
2025-04-30 15:49:22.800 INFO: Epoch 70: head: Default, loss=0.2905, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    1.68
2025-04-30 15:49:37.102 INFO: Epoch 71: head: Default, loss=0.4954, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.37, RMSE_ALPHA_DERIV=    1.79
2025-04-30 15:49:51.433 INFO: Epoch 72: head: Default, loss=0.3963, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    1.96
2025-04-30 15:50:05.785 INFO: Epoch 73: head: Default, loss=0.3347, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    1.74
2025-04-30 15:50:20.084 INFO: Epoch 74: head: Default, loss=0.4194, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    1.99
2025-04-30 15:50:34.405 INFO: Epoch 75: head: Default, loss=0.3452, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.15, RMSE_ALPHA_DERIV=    1.79
2025-04-30 15:50:48.728 INFO: Epoch 76: head: Default, loss=0.2787, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    1.59
2025-04-30 15:51:03.104 INFO: Epoch 77: head: Default, loss=0.4068, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    1.95
2025-04-30 15:51:17.476 INFO: Epoch 78: head: Default, loss=0.2271, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.17, RMSE_ALPHA_DERIV=    1.42
2025-04-30 15:51:31.834 INFO: Epoch 79: head: Default, loss=0.3427, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    1.90
2025-04-30 15:51:46.172 INFO: Epoch 80: head: Default, loss=0.2862, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.09, RMSE_ALPHA_DERIV=    1.71
2025-04-30 15:52:00.499 INFO: Epoch 81: head: Default, loss=0.2845, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    1.66
2025-04-30 15:52:14.953 INFO: Epoch 82: head: Default, loss=0.2239, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.09, RMSE_ALPHA_DERIV=    1.50
2025-04-30 15:52:29.280 INFO: Epoch 83: head: Default, loss=0.2478, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.09, RMSE_ALPHA_DERIV=    1.57
2025-04-30 15:52:43.607 INFO: Epoch 84: head: Default, loss=0.4432, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.34, RMSE_ALPHA_DERIV=    1.75
2025-04-30 15:52:57.912 INFO: Epoch 85: head: Default, loss=0.3474, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    1.76
2025-04-30 15:53:12.241 INFO: Epoch 86: head: Default, loss=0.3320, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    1.85
2025-04-30 15:53:26.562 INFO: Epoch 87: head: Default, loss=0.3028, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    1.72
2025-04-30 15:53:40.931 INFO: Epoch 88: head: Default, loss=0.2823, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    1.57
2025-04-30 15:53:55.209 INFO: Epoch 89: head: Default, loss=0.2952, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    1.70
2025-04-30 15:54:09.545 INFO: Epoch 90: head: Default, loss=0.2525, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.21, RMSE_ALPHA_DERIV=    1.44
